MainOP,Option,Measure1,Measure2
XCIAJGWVXxERQSb5uh,s9uo6Mfwk,0.37103,0.053
zjVzAn6Fj3XhgnMdgU,"fVH3P,8OA1uG,XNLAVsi,lvcDx,eF5DxlIF0",0.69451,0.753
Z5ifKlbuLx,"lQrwEN1sBx,RdBl3yC2,2lhplx,aG9IhBQqEx,Mvbb35E7,Fw8NKv",0.13957,0.825
vVfAzB4l4k0Seau,"ZfY0Onbi,0OQpk,2azSj,kV26KnCQM,kfp2DEcXb,3vvTJCYY8,q1mr31A7",0.95681,-0.658
g9FW9zrOG3so,"wQbMN,nMAuv,SO9Syp,ilrCrdP,0FMVqTWtJ,lFag4G",0.34425,0.221
0n3K9jPtoyNHN,"IrMTwn890,DQSSAXr,5FAbr,RpICJR7",0.22963,0.163
iN4TppoMr,TENxKP,0.86107,0.583
M4ChO7SQqK7d6v3XRg,"NA4qcN,BeZGo,CUKtK,asHlVs,pgUcHhpJst,uGcnFWC",0.22768,0.49
bYX4h49eO5UVrB2jEe3,"G3hUwedG,oHYX3Ql,V2WpKc7w8J,vYJClJ,Pt9Abj,B3t5DX29",0.65059,0.421
Qlofu7cTCyRy,"m4i8ncBR2i,nFoN5,yNL97,h9qBhWMG75",0.73472,0.988
AX6Op6jZ4uAeOXZJOnMX,"yibzmmvBLw,lT4yJ9,aJhCyx,CI6xezc3M,Jhg6EYh,ELpGgF6z,vHSawYVsnB,AeOkC",0.61168,0.465
RCPoLmapVD,"MhQdVF1D,MNGrd2BD,ONZJ9XX,UBLYgd,gWchkB,hHeIBxpbAJ,0oUgj,XASLjKgg8",0.04535,0.954
UformWG,"QRKYfav,eAzWs,cHoMZY,pdgGqjUS,aCCUk,Zr8tUWufi,1PosKp,O3bT0b,wR4mutMh",0.19677,0.96
bjjICm412gUF3ZUGgR,"JnwObH,EVXnE,ApZKBPeq1,MPuwlWK,WYFugQVw5O",0.17396,0.465
FQ1ibwj9QDnV,"LlQXLR4,VGEXrje1,IDx7R,dBbJk04b5j,k7Kssu4N,xntZ4qpOqZ",0.26673,0.965
IiBLiubvLT5MImRD7,"2dnHibf,amacRfodL,StrKmTPJ,pEIaQluP,INQ54,vQp8QWLt",0.71826,0.479
lJMzzqIHE8KW4UF,"QWTbQmcEsi,Pv7qO31,CLr6JvHNHJ,FKziNh5,GwkbTq,AA0nQbcl,XqDAFaUg,sYOf98ByIc",0.15451,0.547
uvLrQ1,"AH8w72,94eR7,hsIBH2BMi,pP3op,rWlhnn3A8v,xQ5khok,ZGJGI9t0yF",0.4679,0.575
qT5nhjba32RV,"QRC5NH0,wMmJ96nK,g6kjxBz0,hOxvx42MwW,AVj7q",0.54526,0.955
rW6bYwwRKLRk9,"024un9F2F,o73eV0,7kHMQ9t,PXxfKQG2,GzyE6DsCTz,uH0nbQNX,5vtmQqx33",0.22694,-0.519
wnF6SzBDqW1YG2S,"9vVZSdA,eZ1sz1ouXi",0.35576,0.863
6cbOciB,"Nwsf8l,gzkXBD9N,S9zrZvl,rhjYL,6LWG0dd",0.23053,0.301
723zMKhWCA7WqWpy7FpS,"qgAxJAN,5g7SZ,sRJdez,7y4rxaQj,pL0DS,oHiYfMPu,CGZ02,oLxjiNdfL,BjOcx4,oAWfzb8r5",0.87451,0.772
v2hHOV5HxO8OZmMXgAO,"1mmMQlnzQ,k2VHm,1WXIgo,l38G7,gHzqNc",0.67439,0.094
PMmbzeZuJRibHjX,"faFUwrXu,5yKoqbrw,0x7iJ,p7sRb,9p4jvzGHa1",0.13733,-0.403
nM4NpAPa,"u500pJoa,70J8qzh,dtwM5,YJ8JjkbtxP,FDiJnWeS,mm8dRWsV,WoHovTlFe,YRSvq4VC7,28AiTYL,EPhPl",0.85163,0.484
pbAAkZYEqJCBd1,"pUnGyK,PzQoX2b,VF7pKD1md,3UU9M,7OQDqJ8W,XcVOK6OBY",0.95194,-0.46
qB5vQ56,"Uty9nj,YYUzrIU,Dzgol1,pr4DrqV6QQ,6tMXyhMR,nJtF50m7,RjcEa,YhqXJI",0.40652,0.836
BTFAGBEctb2Az8nRQ,"r28m4bDsX,iH6xZP,KC8It8sQQ,0DN9g,1zFDzRXIa,eTfhqFZ,bSeDIBz,0NrCc0h9",0.06804,0.184
h6rXpWlpjxwf0usL0oA,71lG0e,0.15565,-0.517
6BfZkv4rj,"1UqK3u,aZ0TlP4,rMaU52,aIpknTaT,IYpChFS,f5J3He",0.56055,0.727
5EJenmqAM,SdCr2w9RHQ,0.83332,0.591
iuZaErKYzFNQROxImAA,"H30h9Jan,fHTXIcDGr",0.5468,0.188
r9qSc4eEl,"JAASe9S,9nBnB3,PFA2p45Vyt,tPZjQRnog,Vqcny,x2ZXVMfd",0.16966,0.915
3OEYJV,"NHOLPiuu6,1Fh4rGKZj,6NJG2LCR3,wKrS9Zoirg,1ork7PQM,5jnuWz,XkD1yKbuI",0.25041,-0.959
t5gra3WJFPjAzNKHYSy,"IA4HuGa,09aqQzIiwR,54ZvreFe8,v36wCIAoB,dx1ObLwuRh,U6xqDED6G,9DiwD,A3kqrBY6l",0.73941,-0.195
ocDUs0h,"i1S9dnGvVC,XuUhOas6m,fJvRVrP,swfdQ",0.55695,0.609
Nk3MOTs06qqut5K2fr,"c7VNrugAjn,zrutdWTAfl,0RpZqMe,pPYDd6ZoN,FPjC5ySl,f7mdOCe",0.25888,-0.591
4Y9pXPH8FeY4,"qb6j2eQxn,cPDEs8bJ,vaInl7l,2Ct8Js5a9v,odmj3Ss,q42tPYm,UEMoWkR,ImMCxAJ5,e9QA9O,iSkAp",0.81249,-0.788
5lfwiItrHX,"ucl9zdtrw,nnseR0vV,eHxdtMlpjZ",0.21844,-0.354
6rHOYSKCb8RPnZQeG9F,"a3NiA0XPH4,3cpogDxgxf",0.94359,0.464
UVXfIP0jD,"mwBBVirP,ZNdAz4C",0.02331,0.163
paqEVgdXm,jjTfFTm,0.69584,-0.821
r4UJIh4IMrkK0UIXtH,"SIHsqGb,P4v73sFKk,qXztpiWFL,qQQa1T9Hj,uIL4i7,Ilz82e,gpScB4vTEJ,Y8bLWh0",0.83987,0.976
OHD7YsoSEdAKNAJ,PaYAQ,0.49869,-0.816
UYFS1mhet9e,"JbslyG,9ywKvAu,memBz7bv,HPAiQC,GRZAGAhS,LZxKAIM,zaAAhWVWr,r0AISwU9",0.13709,0.92
6GOWXnlJhmGJZHmD,"hu5z0mgef,AjjWTpD,jYIP1NZ6i,2bX75,4Am7Dsln8y,wDaFE58pc",0.69801,0.665
qqMIaKV6F,"zmelz,wNNe12aM,1slI7BOeF1",0.7876,0.891
wvZZ6S3yIRM2I7aV,"DEb6cIwh6,Xn4FWL,fssSiFG9qV,5m6O3lRl,R2153Y,uhW8cmW4,YVAGzvgHU,bfknKQ,Zk6AONL,H2xRQBI",0.34871,-0.189
eT34et6IRxhjPrhaN,"kdJMp,XXw56dygd,Fv9sbFRz5t,U0pWHeBo,va7ztar,7BeXkjDS,xskQGNFXCK,rWB4c,UdfPqS,URGwm3",0.25743,0.983
Aw9Ud0Eu,"VYllU,i5SWfxnqg,Ovh9lS1",0.90009,-0.988
qMpEpTEh,"1xXXZq,PMqxj3,IPyv5c,A5681TlSDU",0.83098,-0.072
0tqO9k24evFN,"G4GQdyewE,gEAMHB",0.06969,-0.022
gOli3yGBAh,"z2Am3PVim8,rKdvPV,eHi8uQf,I3xhmXre2,6IDEw,G6ofZ1Q,AGeI58,CorRXaBvN6,yHPa5eRUnK",0.99396,0.878
gptgzySLyn6yn8WBmL,"tWged8QB,OSz5Eg7Llh,AMo3U,nMDBGz,MXpwSN,x8m4im,eQh5Q2,CJDB7p,b4cd3j,xBMRLRLY9D",0.34313,0.529
3xAFrDhYiwt2VlH2r5T,"DxLRfS7N1e,KUO9c,dIJmn,X5p0b,lA3LpLb,a5tiX,Sg07AG5p2S,aGtGGdj",0.17731,0.536
gDq7tj1,"424z9IDcN,sbuIcQQ,ofYQ05,6RFfYYEAA,N7VDTXM4JO,eOjkrOJ6hS,FRAJBbjZV9,Cqvqk,FHwRVL,LJAgSFItqT",0.90599,-0.395
HwMkYj3X,"4Wee4PQWZh,YUayZW,ZGiNNLWU6b",0.05638,-0.655
5jvpXTVl0G3qP,"M5i6a6tpiT,dM0Mfot,Y7jzWmHvU,fRNu3EGPcu",0.26692,-0.636
Gl2pBVmZTUAPXjudR3Ex,"9Vj8iHDX,x5OlIbO,OpiHsHeT,sgl3WM,0ZT96lQkJF,b7Bibhu,O5B7VBv7X",0.23291,0.356
IFWhDkKtcLvzktUj,"20KOMTDzMM,1B0v34gD,qelVai5cZ,5kYJcRE,5fhTBLMdub,uJCwv8gO,JX38Oz06b,s5KfmpEkzv,xjSsD2Q25q",0.11229,-0.626
NCcOZk3pl94X71rJPU7o,"qpTSdM0u3,N2yjL9c,VeOZ4,7fj8b,FNc0IW31M,jSUtC8w,7w7ID,kPxikK7O9B",0.83164,-0.697
0ad90KtKRIOEVFz2,"YxMIrnjWk,YB0swGq,NCNatxR6,PfIplIS0kn,RkBaP6yz,tM3znRC4T",0.3713,0.392
d3gBPAkgVTYc9,"s1oT3Ipi,ArbYt5rH2,zIXf4mma,C1WHuHf0,oRaADb",0.54918,-0.281
BH10KwYHiA633,"CO5Zcrqi,WDVnV08M,5jie2MU0e,4Yeqv,YHTP8I",0.26055,0.41
TIXm3DULwAs02OpoAV,"9ZnK4y,WOlhS0e,evw23w0u,bkIIwhsN,qI3lkGKn,pLOxIrZ,ZbnHjE1keg,kpuozoh3QB,voYZtSELv",0.38367,-0.39
oBFQOr83K0U,"H3D2fwLa,m7G5Jjt0kX,KlBhR1Y,soMnu,iIxgSxue",0.94899,0.928
gvGsHS3gi313rA,"Ihf8K,iCG29RE06,n3HaHQ0c4o,kWYKLHUp,UwDbhdR,BW7xHB",0.41908,0.294
y4Cpfx0aM,"arUBFls,OQ26kGM5Aq,erqFEKQD,sR1YdN3DVZ,5LCe8",0.83044,-0.677
sjLrlRW,"ekpj7dJyY,NvWNEJ,phvur1I,RB8yrDtwW0,KqPJBKj,dA0MitkF",0.26678,0.879
IeUnX3,"XxN2q,layPow,Fd36IDAxj",0.71692,-0.517
BCl8OGxr0gtEe,fyacbyIct,0.85497,-0.058
eig1Mw2FDTdDF,"zDkKX8O06,UQTofrikoT,P4TuGiN",0.73142,0.045
ym4GOfVsMsGXH,LbsNq,0.05918,-0.931
RtPJCfDKEpMU,"WB7GB9OD,i6IUnQSk,Sxm09Cp,iVjJ2R,g8ep7i5p,xkxtTMtjg,kGF6o,tDWwP,5sPRJk7Gi2,2AC91",0.15429,0.094
842jEUzPyE2Ci,"jNIquaXlYG,1qe1O8ZM7,RP1fb4DA",0.75744,0.776
7s9L0u,"VCNRQS2n,H9iOdKV6F9,0DBPa4,QDSRulyAG,cTJKQK,bBn831",0.18783,0.754
80B1C8f169,"6HIwaHP,qPCuwLM5Y,qPtru2t,qdw5Uuesf,8soAXAt,1sf8UdBJv,V9DxOlYNJ",0.67149,0.28
yEMFZyhxnYMPNTxS5,"EzKBhZ,skAoItL,OqrCmD,DcctGtiqeK,3MeD4Rahz,5PQKdEVjV",0.45149,0.13
WDV5DVrpXB6F0,"50wFL0yZ,cX8UB,fDJKr,0MkjDu,JWcstXJfm,oE4s2y,qLcjTpm",0.226,-0.248
g3dLZdVBmNkg2YPYvL,"5UoIw,7VR8Wi,HiVzCw,6KhyT",0.67856,0.957
saWH6d,6efdkHF5,0.70526,-0.991
eYj8Eh,"ngez80S5m,ypAiq84,0LPgamYWm5",0.48873,-0.274
DbwqW98kWYCtr,"yrMP0IrT,WbRO8ajw8",0.10676,-0.644
35HIWfq,"mzMGLP,AcAsv,l5NaX7vyw,UkSa5SSq,GSpGMc",0.65679,0.941
27tff4MCc5iS,"TH7iSu,t3dxxu,vMz8gljTn4",0.6055,0.25
jbgvy3aQ7smleKFure,"8cDpVjPTN,ejfmRwYGn,If888F0u5J,ZlRsjX8Ife,IIA8L2LhOS,FkPTRNbx,2lIwha,WQbcRILI,YUyZKqO8B,fFR2HHr",0.39199,-0.63
MK0DlmiLsHOLMdHJBm,"RMNUysdMJ,byVez,7KRey8,ZNt7DSb,NYmHvP4t",0.08268,0.608
8TNOzrve8aBhGQid81r,X7UTCNRXzP,0.71655,0.744
uTqr5QCIu6VL4,"Hif4EdE5t,S7ZAO9d3sa,WuJbkNwL,yAIBQ2,hBC92t,jc3EA0,cmAqvHsOg,lkN4W,AevnJF,6hAh24niH",0.65798,-0.329
0bkYYD1u3bS6zI2N,"AtJ0Oci,ggFWX1,jetRO,CseiZeFy,fNzx1OtP,UsKMUGyyxI,lVu0wh,0Dgg0c",0.93808,-0.086
SNAiQWjO,"394lLHhtHW,6fT6txINn4,8fF73j9,aCWAQ4i,DeFPJQPV,UfFgq0Dqq,tLXq9,fAllwef1Vb,jk5kcWlVol,TXXx5Pq",0.15387,0.429
oiU9l5AxIxl7e0RD,8fep1M,0.78029,0.488
KcZmLgBKJOI,"yzQQL,PSJ5IDl3,AO0HNpSDj,jnd8GhFpv5,ssUVtiU,J0LiZ,pnZ8ly,VZkfr8jtlu,N5USrwHedz",0.3777,0.103
oWnJEueHFy2cjxW,5ulQR2,0.42291,-0.194
FLQGnwf9c09C7YZLZi,"IK7Vr2rF,asUrxu,xHRhfQCE,caI4BYIV0J,QlparNGW7i,90mKq7eHpz,QIlc7typHn",0.61088,-0.982
smwZGt6DsF,"bs2gE763K,AvQGha",0.28264,-0.193
gbyyXGKbtOu7l2GhrJyW,"Z1ycEIRnKk,cs7A7R",0.90347,-0.107
o7l5clMFc83XUdS5MJ,"xjLxK,RFQNJiJ4,Hk0Nyt2fCR,oeuZTH",0.7984,0.315
8IYSSGuP9U,"KHLfS69G3,8tWeOdOmc",0.00459,0.994
rg0A0BHoCtKU9,"rbdRxGk,5a1MqZ8",0.32059,-0.595
nKSr3pW,"6LYc3,8pyIVVGZ,Kvn8xnR0i,iF0HQNr,Pa0ZH,3ogl08Ml7,HEzQSAQL,ZPZXn",0.52759,0.433
CnDO7kD2nLej,OagsvxvPw,0.63478,-0.503
ah7JUmw5opfjttm1FkdN,"wEMjDhV,LWukPj6,7WMT2,Sq05OfHz,UQQuG7",0.182,-0.163
2RdL7jqH,"uEfvIn248,pzrik7zK7",0.12586,0.11
xOP9F8EGHxG,"mk90l,O3lTzfs2,2bZx0,nQESHO9,8il5iW3,Hv3oRIYn",0.09677,-0.525
N1iYPN7wnAS1qPKFRIp,"0575LJN8xp,Y04rFlqvM,BNhPX0Xe,8KPwKyg,ofytp,my310lw,I4KLG,uMxgWF,lpeaKcV",0.96158,0.59
05xA8VMaF0Ing,"yEBaTIp,soffn4,7lfV58,7BywatWpiZ,9oaMkfM",0.61439,-0.664
TCWZULC7WLBi8GU97EaU,"IVSdqf,CdIikF,zaJSISdix,6OekT,FlgON7dCd,xorlpMXw,SNMB0,S6CYGKp",0.00962,0.617
jU8TeV,OAHTs1t,0.76403,-0.004
nq5RmTvLCyIx013Km7,"pwMLW,HUaUsw1poM,8YIQST,MpyPym,Pfo1W2xc,za3DA,jB1Mu",0.39546,-0.621
5ibCpB0rEWCU,"aNBJg,r3hpm,4nBYVdDh,fYvdwG,yzsADa,uZWDf,ttJx63g",0.40403,-0.518
DSoTlGQaoX2K19Gg1,"oIqF3SIP,01z6FbDv,28Uj7QTB,7M2hoIGXzP,etFas,WIY360WNH,8LP9A,1srcEhgB,OcICyCQlok",0.12151,0.571
ZTCNhCtwX7JCCZHo1,"uirvybWXBD,8DO2T,2YhxB1,j9UtKnbcv,Rre0bp",0.29883,-0.394
ViodFDhui,"y0sl6RaH9,KgooYH1H6K,J3IYDyPRki",0.83436,0.084
UZTieClpfCs,"Wem0Mu,2v0xjKJ,MenB1,QlJmixoaqi,Spou7c",0.86453,-0.959
qnp0uc,"kq5si4fT,5Ql4O2,1M5QeqK",0.59591,-0.057
